"Board","Profession","Owner Name","Series","Modifier","Mail Address 1","Mail Address 2","Mail Address 3","Mail City","Mail State","Mail ZIP","Mail County","DBA","Location Address 1","Location Address 2","Location Address 3","Location City","Location State","Location ZIP","Location County","License Number","Primary Status","Secondary Status","Original Licensure Date","Effective Date","Expiration Date","Tax Stamp Designation","Smoking Designation","Retail Tobacco Indicator"
"400","4005","MANGO BOTTLING INC","ERB","","767 CLEARLAKE RD","","","COCOA","FL","32922","15","MANGO BOTTLING INC","767 CLEARLAKE ROAD","","","COCOA","FL","32922","15","WSL1503934","20","20","","08/06/2009","09/30/2024","","",""
"400","4005","JOHNSON BROTHERS OF FLORIDA INC","KLD","","1999 SHEPARD ROAD","ATTN: LEGAL","","ST PAUL","MN","55116","723","JOHNSON BROTHERS OF FLORIDA INC","4520 S CHURCH","","","TAMPA","FL","33601","39","WSL3903669","20","20","","08/02/2002","09/30/2025","","",""
"400","4005","SEAVIN INC","JDBW","","19239 US 27 N.","","","CLERMONT","FL","34711-9025","45","LAKERIDGE WINERY & VINEYARDS","19239 U.S. 27, NORTH","","","CLERMONT","FL","34711-9025","45","WSL4500772","20","20","","08/02/2002","09/30/2024","","",""
"400","4005","GREEK BOYS CHOICE, INC.","KLD","","744 ANCLOTE ROAD","","","TARPON SPRINGS","FL","34689","62","GREEK BOYS CHOICE, INC.","744 ANCLOTE ROAD #B","","","TARPON SPRINGS","FL","34689","62","WSL6209273","20","20","03/30/1998","03/01/2011","09/30/2025","","",""
"400","4005","D & V INTERNATIONAL INC","IMPR","","601 HERITAGE DRIVE, SUITE 491","","","JUPITER","FL","33458","60","D & V INTERNATIONAL INC","601 HERITAGE DR","STE 491","","JUPITER","FL","33458","60","WSL6011727","20","20","01/20/1999","08/02/2002","09/30/2025","","",""
"400","4005","WAYNE DENSCH INC.","KLD","","2900 W FIRST ST","","","SANFORD","FL","32771","69","WAYNE DENSCH","2900 W. FIRST ST.","","","SANFORD","FL","32771","69","WSL6902284","20","20","09/14/2006","01/17/2017","09/30/2025","","",""
"400","4005","YUENGLING BREWING COMPANY OF TAMPA INC","CMB","","11111 30TH ST","","","TAMPA","FL","33612","39","YUENGLING BREWING COMPANY OF TAMPA INC","11111 30TH ST","","","TAMPA","FL","33612","39","WSL3908405","20","20","04/14/1999","04/10/2018","09/30/2024","","",""
"400","4005","CARLEE MADISON IMPORTS INC","JDBW","","678 SHELTER AVENUE","","","JACKSONVILLE BEACH","FL","32250","26","C M IMPORTS","433 PABLO AVENUE","","","JACKSONVILLE BEACH","FL","32250","26","WSL2607774","20","20","07/19/2001","07/17/2023","09/30/2024","","",""
"400","4005","MURIELLE WINERY INC","AMW","","13131 56TH COURT, SUITE 305","","","CLEARWATER","FL","33760","62","MURIELLE WINERY","13131 56TH COURT, SUITE 305","","","CLEARWATER","FL","33760","62","WSL6209573","20","20","11/03/1999","01/01/1901","09/30/2024","","",""
"400","4005","MONTICELLO VINEYARDS & WINERY, INC.","AMW","","P O BOX 331","","","MONTICELLO","FL","32345","43","MONTICELLO VINEYARDS AND WINERY","1211 WAUKEENAH HWY","","","MONTICELLO","FL","32344","43","WSL4300280","20","20","12/24/2001","10/23/2006","09/30/2024","","",""
